Date,Close
9/11/2018,117.440002
9/12/2018,117.5
9/13/2018,118.370003
9/14/2018,117.769997
9/17/2018,116.209999
9/18/2018,117.510002
9/19/2018,117.660004
9/20/2018,119.290001
9/21/2018,118.550003
9/24/2018,119.959999
9/25/2018,120.230003
9/26/2018,120.610001
9/27/2018,121.870003
9/28/2018,121.940002
10/1/2018,121.169998
10/2/2018,120.370003
10/3/2018,121.260002
10/4/2018,117.879997
10/5/2018,116.529999
10/8/2018,115.650002
10/9/2018,115.129997
10/10/2018,111.309998
10/11/2018,109.080002
10/12/2018,111.25
10/15/2018,110.089996
10/16/2018,114.75
10/17/2018,114.690002
10/18/2018,113
10/19/2018,111.220001
10/22/2018,109.620003
10/23/2018,109.089996
10/24/2018,102.809998
10/25/2018,103.989998
10/26/2018,103.610001
10/29/2018,102.610001
10/30/2018,103.629997
10/31/2018,104.07
11/1/2018,108.07
11/2/2018,108.099998
11/5/2018,108.029999
11/6/2018,108.5
11/7/2018,111.029999
11/8/2018,110.169998
11/9/2018,107.730003
11/12/2018,104.449997
11/13/2018,104.029999
11/14/2018,101.919998
11/15/2018,104.150002
11/16/2018,105.050003
11/19/2018,102.800003
11/20/2018,102.18
11/21/2018,102.800003
11/23/2018,103.209999
11/26/2018,104.970001
11/27/2018,104.699997
11/28/2018,107.540001
11/29/2018,107.489998
11/30/2018,109.099998
12/3/2018,110.349998
12/4/2018,106.709999
12/6/2018,106.879997
12/7/2018,103.639999
12/10/2018,103.82
12/11/2018,104.169998
12/12/2018,105.480003
12/13/2018,103.889999
12/14/2018,101.93
12/17/2018,100.25
12/18/2018,98.309998
12/19/2018,96.209999
12/20/2018,94.559998
12/21/2018,90.860001
12/24/2018,89.610001
12/26/2018,94.809998
12/27/2018,95.160004
12/28/2018,94.839996
12/31/2018,96.43
1/2/2019,97.5
1/3/2019,97.639999
1/4/2019,102.550003
1/7/2019,105.989998
1/8/2019,106.75
1/9/2019,107.5
1/10/2019,108.900002
1/11/2019,109.010002
1/14/2019,107.169998
1/15/2019,109.239998
1/16/2019,108.650002
1/17/2019,109.790001
1/18/2019,110.470001
1/22/2019,108.720001
1/23/2019,107.809998
1/24/2019,107.790001
1/25/2019,109.440002
1/28/2019,107.260002
1/29/2019,107.470001
1/30/2019,108.199997
1/31/2019,109.690002
2/1/2019,110.269997
2/4/2019,110.239998
2/5/2019,110.059998
2/6/2019,109.879997
2/7/2019,107.129997
2/8/2019,107.800003
2/11/2019,108.339996
2/12/2019,109.419998
2/13/2019,109.75
2/14/2019,110.220001
2/15/2019,112.040001
2/19/2019,111.400002
2/20/2019,111.099998
2/21/2019,109.150002
2/22/2019,110.709999
2/25/2019,112.959999
2/26/2019,112.5
2/27/2019,114.139999
2/28/2019,112.739998
3/1/2019,115.110001
3/4/2019,114.010002
3/5/2019,113.419998
3/6/2019,109.870003
3/7/2019,109.139999
3/8/2019,108.610001
3/11/2019,110.93
3/12/2019,111.839996
3/13/2019,113.300003
3/14/2019,112.989998
3/15/2019,114.199997
3/18/2019,113.919998
3/19/2019,113.849998
3/20/2019,113.18
3/21/2019,111.970001
3/22/2019,108.169998
3/25/2019,108.32
3/26/2019,110.330002
3/27/2019,108.800003
3/28/2019,109.459999
3/29/2019,111.800003
4/1/2019,111.910004
4/2/2019,112.82
4/3/2019,113.489998
4/4/2019,113.029999
4/5/2019,114.93
4/8/2019,114.440002
4/9/2019,112.599998
4/10/2019,113.839996
4/11/2019,111.900002
4/12/2019,111.050003
4/15/2019,110.489998
4/16/2019,109.389999
4/17/2019,105.139999
4/18/2019,104.540001
4/22/2019,104.589996
4/23/2019,106.800003
4/24/2019,105.639999
4/25/2019,106.709999
4/26/2019,107.400002
4/29/2019,107.309998
4/30/2019,106.419998
5/1/2019,105.559998
5/2/2019,105.980003
5/3/2019,107.910004
5/6/2019,108.830002
5/7/2019,105.629997
5/8/2019,105.589996
5/9/2019,105.339996
5/10/2019,105
5/13/2019,101.32
5/14/2019,102.440002
5/15/2019,103.370003
5/16/2019,104.440002
5/17/2019,103.769997
5/20/2019,102.32
5/21/2019,104.349998
5/22/2019,104.68
5/23/2019,103.769997
5/24/2019,104.199997
5/28/2019,102.900002
5/29/2019,101.75
5/30/2019,101.790001
5/31/2019,99.980003
6/3/2019,101.059998
6/4/2019,103.010002
6/5/2019,103.18
6/6/2019,102.169998
6/7/2019,103.830002
6/10/2019,103.209999
6/11/2019,102.699997
6/12/2019,103.330002
6/13/2019,104.099998
6/14/2019,103.129997
6/17/2019,106.099998
6/18/2019,107.559998
6/19/2019,108.169998
6/20/2019,108.620003
6/21/2019,109.449997
6/24/2019,107.120003
6/25/2019,106.889999
6/26/2019,105.82
6/27/2019,107.279999
6/28/2019,109.099998
7/1/2019,109.730003
7/2/2019,109.650002
7/3/2019,110.93
7/5/2019,109.220001
7/8/2019,107.739998
7/9/2019,108.839996
7/10/2019,108.529999
7/11/2019,106.980003
7/12/2019,105.519997
7/15/2019,106.080002
7/16/2019,105.470001
7/17/2019,105.580002
7/18/2019,106.449997
7/19/2019,104.879997
7/22/2019,105.120003
7/23/2019,105.389999
7/24/2019,105.68
7/25/2019,104.199997
7/26/2019,105.32
7/29/2019,105.410004
7/30/2019,106.360001
7/31/2019,105.660004
8/1/2019,106.379997
8/2/2019,105.07
8/5/2019,102.290001
8/6/2019,103.739998
8/7/2019,104.019997
8/8/2019,105.879997
8/9/2019,105.480003
8/12/2019,104.160004
8/13/2019,105.379997
8/14/2019,103.029999
8/15/2019,102.68
8/16/2019,104.970001
8/19/2019,106.160004
8/20/2019,105.080002
8/21/2019,106.040001
8/22/2019,105.089996
8/23/2019,102.410004
8/26/2019,103.160004
8/27/2019,102.220001
8/28/2019,102.879997
8/29/2019,103.620003
8/30/2019,102.93
9/3/2019,101.150002
9/4/2019,101.209999
9/5/2019,102.389999
9/6/2019,102.239998
9/9/2019,101.830002
9/10/2019,102.980003
